"name","male_offspring","female_offspring","sport","checked"
" Osmiro Silva (BRA)",NA,NA,"maration",FALSE
" Rashid Jamal (QAT)",NA,NA,"maration",FALSE
" Adel Edeli (LBA)",NA,NA,"maration",FALSE
" Éder Fialho (BRA)",NA,NA,"maration",FALSE
" Vincenzo Modica (ITA)",NA,NA,"maration",FALSE
" Daher Gadid Omar (DJI)",NA,NA,"maration",FALSE
" Richard Rodriguez (ARU)",NA,NA,"maration",FALSE
" Fokasi Wilbrod (TAN)",NA,NA,"maration",FALSE
"Kieren Perkins",NA,NA,"swim_1500",FALSE
"Erik Vendt",NA,NA,"swim_1500",FALSE
"Grant Hackett",NA,NA,"swim_1500",FALSE
"Ryk Neethling",NA,NA,"swim_1500",FALSE
