name,country,rank,event,male_offspring,female_offspring,source,comment,result_source
Alberto Contado,Spain,1,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Andy Schleck,Luxemborg,2,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Denis Menchov,Russia,3,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Samuel Sanchez,Spain,4,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Jurgen Van den Broeck,Belgium,5,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Robert Gesink,Netherlands,6,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Ryder Hesjedal,Canada,7,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Joaquim Rodriguez,Spain,8,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Roman Kreuziger,Czech Republic,9,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Chris Horner,United States,10,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Luis Leon Sanchez,Spain,11,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Ruben Plaza,Spain,12,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Levi Leipheimer,United States,13,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Andreas Kloden,Germany,14,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Nicolas Roche,Ireland,15,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Alexander Vinokourov,Kazakhstan,16,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Thomas Lovkvist,Sweden,17,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Keven De Weert,Belgium,18,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
John Gadret,France,19,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Carlos Sastre,Spain,20,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Daniel Moreno,Spain,21,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France
Cadel Evans,Australia ,1,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Andy Schleck,Luxemborg,2,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Frank Schleck,Luxemborg,3,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Thomas Voeckler,France,4,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Alberto Contado,Spain,5,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Samuel Sanchez,Spain,6,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Damiano Cunego,Italy,7,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Ivan Basso,Spain,8,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Tom Danielson,United States,9,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Jean Christophe Peraud,France,10,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Pierre Rolland,France,11,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Rein Taaramae,Estonia,12,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Keven De Weert,Belgium,13,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Jerome Coppel,France,14,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Arnold Jeannesson,France,15,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
