name,country,result,event,male_offspring,female_offspring,source,comment,result_source,,,rank
Christian Knees,Germany,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,20
Pierre Rolland,France,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,21
Alberto Contado,Spain,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,1
Andy Schleck,Luxemborg,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,2
Denis Menchov,Russia,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,3
Samuel Sanchez,Spain,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,4
Jurgen Van den Broeck,Belgium,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,5
Robert Gesink,Netherlands,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,6
Ryder Hesjedal,Canada,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,7
Joaquim Rodriguez,Spain,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,8
Roman Kreuziger,Czech Republic,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,9
Chris Horner,United States,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,10
Luis Leon Sanchez,Spain,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,11
Ruben Plaza,Spain,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,12
Levi Leipheimer,United States,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,13
Andreas Kloden,Germany,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,14
Nicolas Roche,Ireland,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,15
